Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
EMP1000,Bob,Davis,25.0,DevOps-California,Active,2021-04-02,59767.65,bob.davis@example.com,+1 (165) 162-3197,Average,True,DevOps,California
EMP1001,Bob,Brown,,Finance-Texas,Active,2020-07-10,65304.66,bob.brown@example.com,+1 (189) 847-1390,Excellent,True,Finance,Texas
EMP1002,Alice,Jones,,Admin-Nevada,Pending,2023-12-07,88145.9,alice.jones@example.com,+1 (559) 636-3211,Good,True,Admin,Nevada
EMP1003,Eva,Davis,25.0,Admin-Nevada,Inactive,2021-11-27,69450.99,eva.davis@example.com,+1 (347) 649-0784,Good,True,Admin,Nevada
EMP1004,Frank,Williams,25.0,Cloud Tech-Florida,Active,2022-01-05,109324.61,frank.williams@example.com,+1 (158) 673-4256,Poor,False,Cloud Tech,Florida
EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,2020-06-10,88642.84,alice.garcia@example.com,+1 (540) 900-3485,Good,False,Sales,Texas
EMP1006,Frank,Jones,,Admin-Nevada,Active,2020-04-03,96288.43,frank.jones@example.com,+1 (451) 837-6063,Good,False,Admin,Nevada
EMP1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,2022-07-17,94497.91,bob.jones@example.com,+1 (413) 432-7559,Average,True,Cloud Tech,Florida
EMP1008,Frank,Davis,35.0,Admin-Nevada,Inactive,2023-12-08,115565.82,frank.davis@example.com,+1 (417) 765-6123,Excellent,True,Admin,Nevada
EMP1009,Charlie,Johnson,,DevOps-New York,Active,2022-08-04,76561.88,charlie.johnson@example.com,+1 (815) 698-5699,Excellent,True,DevOps,New York
EMP1010,David,Williams,35.0,Cloud Tech-New York,Active,2024-07-06,72081.71,david.williams@example.com,+1 (272) 063-4590,Average,False,Cloud Tech,New York
EMP1011,David,Davis,,DevOps-California,Active,2023-09-04,84946.19,david.davis@example.com,+1 (123) 829-6576,Poor,True,DevOps,California
EMP1012,Heidi,Williams,30.0,HR-New York,Active,2024-03-05,89295.77,heidi.williams@example.com,+1 (242) 954-3164,Excellent,False,HR,New York
EMP1013,Grace,Williams,,Finance-California,Active,2020-10-10,85666.84,grace.williams@example.com,+1 (266) 930-0892,Good,False,Finance,California
EMP1014,Alice,Garcia,25.0,Admin-Nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,+1 (173) 420-6968,Excellent,True,Admin,Nevada
EMP1015,Grace,Jones,40.0,Sales-Florida,Pending,2021-05-29,117975.49,grace.jones@example.com,+1 (421) 529-1085,Good,True,Sales,Florida
EMP1016,Alice,Brown,25.0,DevOps-Illinois,Inactive,2024-04-23,94867.33,alice.brown@example.com,+1 (771) 333-4475,Poor,False,DevOps,Illinois
EMP1017,Grace,Garcia,30.0,Finance-Texas,Pending,2024-11-28,100377.65,grace.garcia@example.com,+1 (263) 934-3625,Average,True,Finance,Texas
EMP1018,Charlie,Garcia,,Cloud Tech-Nevada,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,+1 (204) 439-7358,Excellent,False,Cloud Tech,Nevada
EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,2020-01-02,91926.12,charlie.williams@example.com,+1 (710) 725-6365,Average,True,Admin,Illinois
EMP1020,Bob,Miller,35.0,HR-New York,Active,2021-05-08,111460.67,bob.miller@example.com,+1 (941) 180-0536,Excellent,True,HR,New York
EMP1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,2020-09-19,96182.56,bob.jones@example.com,+1 (599) 004-8963,Good,False,Cloud Tech,Illinois
EMP1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,+1 (652) 809-2427,Average,True,Sales,Illinois
EMP1023,David,Garcia,35.0,Finance-Nevada,Pending,2022-02-03,80667.01,david.garcia@example.com,+1 (757) 215-8623,Excellent,False,Finance,Nevada
EMP1024,Bob,Brown,30.0,Admin-Texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,+1 (150) 274-5643,Good,True,Admin,Texas
EMP1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,2020-04-30,66025.92,david.miller@example.com,+1 (948) 562-5727,Average,False,Cloud Tech,Nevada
EMP1026,Frank,Miller,25.0,Sales-New York,Inactive,2023-10-02,83979.01,frank.miller@example.com,+1 (703) 203-2073,Average,False,Sales,New York
EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,2020-07-12,56785.16,heidi.johnson@example.com,+1 (276) 170-7586,Excellent,True,Finance,Florida
EMP1028,Grace,Garcia,40.0,Finance-Nevada,Active,2023-10-11,95741.88,grace.garcia@example.com,+1 (771) 215-1341,Excellent,False,Finance,Nevada
EMP1029,Alice,Brown,40.0,DevOps-California,Active,2021-05-24,63411.31,alice.brown@example.com,+1 (284) 993-9088,Excellent,True,DevOps,California
EMP1030,Charlie,Jones,40.0,Admin-California,Inactive,2021-05-26,111214.02,charlie.jones@example.com,+1 (261) 371-5040,Good,True,Admin,California
EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,2020-07-10,114845.69,bob.smith@example.com,+1 (659) 152-0176,Excellent,True,DevOps,Illinois
EMP1032,Charlie,Brown,40.0,Finance-Florida,Active,2024-11-05,78072.82,charlie.brown@example.com,+1 (749) 050-9758,Average,False,Finance,Florida
EMP1033,Grace,Johnson,25.0,Finance-California,Inactive,2021-08-07,79610.52,grace.johnson@example.com,+1 (230) 450-1895,Average,False,Finance,California
EMP1034,Heidi,Miller,30.0,Admin-California,Active,2020-04-29,90542.62,heidi.miller@example.com,+1 (164) 236-1031,Excellent,True,Admin,California
EMP1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,2022-10-26,114357.1,frank.jones@example.com,+1 (664) 214-7648,Excellent,True,Cloud Tech,Illinois
EMP1036,Alice,Brown,,Cloud Tech-New York,Active,2023-05-03,54757.26,alice.brown@example.com,+1 (251) 583-7766,Poor,False,Cloud Tech,New York
EMP1037,Grace,Smith,25.0,Sales-New York,Pending,2023-05-02,52781.92,grace.smith@example.com,+1 (499) 616-5925,Average,True,Sales,New York
EMP1038,Frank,Smith,35.0,Admin-Nevada,Pending,2021-10-05,66708.02,frank.smith@example.com,+1 (610) 857-3277,Good,True,Admin,Nevada
EMP1039,Eva,Williams,40.0,HR-Texas,Active,2022-07-27,93481.15,eva.williams@example.com,+1 (814) 761-7421,Poor,False,HR,Texas
EMP1040,Bob,Williams,25.0,Sales-New York,Pending,2021-06-27,59271.96,bob.williams@example.com,+1 (438) 649-0809,Excellent,True,Sales,New York
EMP1041,Bob,Davis,30.0,HR-California,Active,2022-06-16,108362.15,bob.davis@example.com,+1 (818) 661-7944,Excellent,False,HR,California
EMP1042,Alice,Johnson,,HR-Nevada,Active,2024-12-03,59400.38,alice.johnson@example.com,+1 (491) 801-7225,Average,True,HR,Nevada
EMP1043,Bob,Garcia,,Admin-California,Inactive,2023-05-23,64744.08,bob.garcia@example.com,+1 (164) 597-793,Excellent,False,Admin,California
EMP1044,Eva,Brown,,Finance-California,Active,2020-07-08,94399.91,eva.brown@example.com,+1 (523) 219-4167,Good,True,Finance,California
EMP1045,Alice,Brown,25.0,HR-New York,Pending,2021-06-20,61310.74,alice.brown@example.com,+1 (610) 277-68,Average,True,HR,New York
EMP1046,Grace,Garcia,,Cloud Tech-Texas,Active,2024-12-13,98371.37,grace.garcia@example.com,+1 (749) 956-4121,Excellent,False,Cloud Tech,Texas
EMP1047,Alice,Davis,35.0,Sales-Illinois,Active,2022-05-30,58921.19,alice.davis@example.com,+1 (310) 303-722,Average,True,Sales,Illinois
EMP1048,Alice,Miller,35.0,Admin-Nevada,Active,2023-09-27,57195.55,alice.miller@example.com,+1 (683) 147-2759,Excellent,False,Admin,Nevada
EMP1049,Grace,Miller,,DevOps-New York,Active,2024-11-05,61375.12,grace.miller@example.com,+1 (122) 777-0792,Excellent,True,DevOps,New York
EMP1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,2021-11-11,104767.05,charlie.davis@example.com,+1 (349) 605-0165,Excellent,False,Cloud Tech,New York
EMP1051,David,Miller,35.0,Admin-Nevada,Active,2022-02-22,111051.67,david.miller@example.com,+1 (799) 840-7677,Good,False,Admin,Nevada
EMP1052,David,Williams,30.0,Finance-California,Inactive,2024-08-07,105674.18,david.williams@example.com,+1 (997) 308-0694,Good,False,Finance,California
EMP1053,Alice,Brown,30.0,Finance-California,Inactive,2024-11-05,54859.45,alice.brown@example.com,+1 (814) 671-7956,Average,False,Finance,California
EMP1054,Frank,Davis,,Finance-Nevada,Pending,2021-11-09,115746.6,frank.davis@example.com,+1 (602) 437-5737,Excellent,True,Finance,Nevada
